filename,length,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,661794,-113.598816,121.57066,-19.162262,42.363937,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970945,-8.326061,8.802088,-3.6699412,5.7446756,-5.162783,0.7517065,-1.687854,-0.40872997,-2.3026767,1.2224671,2571.3582,296.07608,235.7668,151.15564,168.12291,89.24143,67.65541,69.0549,82.283485,63.39557,61.812798,51.320442,41.247795,40.548885,49.822765,52.465115,36.564144,41.635372,55.096264,46.977684,blues
blues.00001.wav,661794,-207.52382,123.985146,8.94702,35.86715,2.9095945,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.377876,-2.2344918,4.2207036,-6.0106864,0.92929417,-0.72840285,0.29687244,-0.28243038,0.5306445,7775.118,560.3468,572.7793,264.9216,280.19278,156.48784,200.95746,142.67746,166.2432,104.43802,105.23776,96.27899,64.92328,73.20704,52.470043,55.380795,60.278027,48.17047,51.14557,45.82414,blues
blues.00002.wav,661794,-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.791247,-8.901967,-1.0801603,-9.226244,2.4483047,-7.7248397,-1.8190241,-3.4404576,-2.2381277,3320.4553,509.25,412.38336,144.06563,155.78183,74.44929,106.92372,106.602715,65.53293,67.89486,57.7166,64.54468,60.43732,57.734875,36.542633,40.673134,47.666515,52.434155,46.6795,30.676874,blues
blues.00003.wav,661794,-199.57513,150.08612,5.6634035,26.85528,1.7700714,14.232647,-4.827845,9.286853,-0.75612015,8.134435,-3.200026,6.0780816,-2.478445,-1.081587,-2.8744543,0.773994,-3.324069,0.6363106,-0.6159677,-3.4050465,5512.53,456.66226,257.30878,158.48369,268.18112,126.90557,156.06743,81.333206,92.373245,71.43709,110.3547,48.251835,56.820168,62.29118,51.649765,44.467293,50.25732,37.354618,37.286613,31.989998,blues
blues.00004.wav,661794,-160.35416,126.20949,-35.581394,22.139257,-32.473553,10.850701,-23.350069,0.49324906,-11.796538,1.2035192,-13.084958,-2.8104994,-6.9344707,-7.5538754,-9.167669,-4.515863,-5.451786,-0.9159523,-4.4080176,-11.704385,5203.1274,853.93164,334.29086,193.9032,336.68582,134.96942,93.365746,124.83006,130.07599,99.79432,80.30526,86.50339,89.61764,70.97057,75.81285,86.06176,75.33501,53.674747,62.93116,55.23297,blues
blues.00005.wav,661794,-177.80176,118.203156,-17.57063,30.760927,-21.742552,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348447,-9.942636,-3.9021835,-5.574562,-1.8393143,-2.7893167,-3.047805,-8.109732,7313.1104,3197.6785,654.6142,486.06573,433.612,266.61377,169.83737,133.80685,172.35904,100.1985,76.614006,78.863625,80.16972,47.57122,60.067158,72.63291,68.71927,42.5034,39.83419,46.318756,blues
blues.00006.wav,661794,-190.0688,130.27023,-36.36211,33.036213,11.093892,-0.5918819,-20.890266,0.27844235,-6.4963856,-5.5127354,-7.8474035,-3.1243007,-6.602822,-9.949999,-6.542689,-10.072228,-10.918623,-6.9652433,-3.4394317,-6.484499,9660.819,1935.2004,1308.0422,480.56488,1083.8065,280.3283,151.8008,102.93293,131.19998,153.52109,87.57413,64.25976,79.208115,63.08724,86.41182,83.31899,56.994576,38.29672,48.20092,70.2678,blues
blues.00007.wav,661794,-179.37231,136.44832,-26.662586,39.96545,5.310894,10.919134,-20.559534,8.503361,-11.349764,-3.4705548,-8.415842,-6.957211,-3.5460427,-8.051758,-8.964917,-8.427483,-10.5642805,-10.785659,-4.6954694,-8.631641,6578.591,1480.1906,591.66626,353.67972,650.5928,136.39346,163.81985,151.4015,172.05284,178.36537,147.6751,83.783325,93.33749,57.468307,82.323135,70.52399,52.05862,60.554012,65.63184,56.430584,blues
blues.00008.wav,661794,-121.38979,122.49833,-14.734728,46.12214,-8.179258,20.172466,-19.171892,23.036839,-11.832728,21.154655,-6.7227974,6.9895053,-12.730549,5.0585384,-5.1858063,-1.4536041,-7.0426292,2.694213,3.409531,-2.7137442,2621.702,414.85834,341.48816,194.06741,177.21312,107.02968,57.70391,77.214424,42.60169,58.89725,48.956352,56.578964,61.996,50.586235,33.05191,50.61732,28.930817,36.92468,33.69766,36.37045,blues
blues.00009.wav,661794,-213.26422,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104311,4.271254,-6.0507803,3.7858355,0.22263551,-5.1068816,-0.41015327,-1.1793449,-1.914708,-2.2936609,2.8842604,-4.233879,6137.7197,798.88165,669.6024,351.20557,532.40936,278.46005,126.54969,68.01677,110.180824,92.674355,84.925064,104.49447,76.40474,85.49243,104.06625,59.369324,58.506683,83.18738,77.10188,91.51733,blues
blues.00010.wav,661794,-173.81046,137.17355,-23.723032,26.979675,-16.67521,4.1947303,-12.571789,5.851669,-2.8769505,-1.178381,-1.9682404,1.8011796,-3.0069504,-1.8669492,-0.79124343,-3.0062358,-0.43072954,-1.9965144,-0.75010407,-5.006966,8149.3647,1083.4921,1029.7422,495.8017,290.01407,160.2001,150.63368,82.5088,108.672264,65.69818,55.575127,57.9651,93.72034,40.156204,49.774902,63.042374,57.10142,55.652702,47.216576,46.512028,blues
blues.00011.wav,661794,-287.9319,124.01077,5.4674478,33.66307,1.0916541,14.703699,-4.8811417,8.668892,0.7843315,6.5760803,-4.8758154,-3.1767612,-5.538258,-6.779148,-2.6465132,-2.9903204,-3.3829944,-1.8589839,1.8391857,-4.891355,5935.9375,995.7656,302.3093,344.7608,441.5577,235.56703,149.6478,189.468,148.78539,114.31295,93.84978,84.261246,65.84377,60.88594,55.54029,54.580143,39.86669,46.861977,37.08761,28.15208,blues
blues.00012.wav,661794,-207.2383,132.82741,-15.45408,60.980972,0.7190263,12.4613285,1.163385,-1.5329198,-17.895847,8.360362,-2.4596508,-0.5846392,0.3722645,2.5984128,-5.186428,-9.530309,-9.237473,-2.8471036,-1.4193835,-5.9333534,4579.3174,666.5382,935.9552,330.78845,314.19125,101.18291,108.016624,111.72172,96.45056,94.88478,139.76761,92.81606,86.19914,53.77702,45.941338,69.306816,63.61323,68.90039,112.66147,91.53136,blues
blues.00013.wav,661794,-209.80392,124.46476,10.309394,47.016357,6.4782267,15.41512,-2.0159416,6.7262187,-21.543222,10.720835,-5.532847,-2.1957276,-3.0491858,8.643512,-0.307013,-0.6329178,-2.9335592,-1.7062988,-1.7673149,-7.7551384,1970.1763,542.35297,662.66223,148.52957,101.98054,146.28426,69.48618,76.07845,96.49233,95.9346,90.72186,59.244007,52.354904,71.81107,68.65655,88.64808,97.46558,104.32824,88.89283,113.9239,blues
blues.00014.wav,661794,-305.66437,113.07102,12.107334,45.052197,17.734385,14.59007,4.147996,0.22631136,-7.0215874,13.646477,8.91421,1.3037987,5.954979,8.547473,1.1196221,0.59824127,0.06084263,-3.713751,-0.9935342,-1.8043832,8198.974,682.6765,1463.8868,224.74117,249.04097,154.69165,157.73654,167.02478,97.66543,76.85908,90.09924,62.74241,64.367485,76.06576,137.12431,67.78123,96.67049,65.710304,89.44293,113.59302,blues
blues.00015.wav,661794,-238.51962,120.10218,-4.221948,42.294594,5.923822,13.911398,5.350524,1.8952674,-16.92809,12.343145,3.9388995,-1.396683,0.013027753,3.5852568,-4.500639,-5.5398455,-6.8845096,-4.8245544,1.7439977,-1.8783106,4383.0156,728.7424,979.5537,383.4825,298.95306,117.477,119.73136,143.99055,89.888374,76.29176,81.674324,60.957104,60.613476,89.58324,101.9734,77.475586,93.64104,65.75131,78.34608,131.25403,blues
blues.00016.wav,661794,-233.77281,120.66434,-3.1640928,39.514828,3.8315241,18.828154,-3.6787384,4.4254684,-14.964928,17.571478,1.8461249,2.5500884,-1.2302392,8.437056,-0.20024772,-3.8908293,-4.4561357,0.011000704,1.2948039,-2.0984619,4962.4717,562.1939,1208.1986,397.13156,284.69873,156.44447,100.52488,111.604965,101.60688,102.30096,108.64598,66.58429,65.11297,64.99222,59.276867,78.137184,83.02478,86.08069,83.627335,100.893616,blues
blues.00017.wav,661794,-245.68723,140.48125,-2.7912185,60.404514,18.903513,9.828394,3.5638244,0.52286255,-16.378489,6.6293526,7.2584243,-4.021235,1.601125,5.8965745,-3.0172145,-4.7756925,-3.0362883,-1.9979147,-0.049571753,-3.9618297,5200.2783,800.78125,796.4415,361.1663,235.62257,99.901505,118.64272,93.37338,129.21515,105.3116,96.89212,71.38356,73.02003,78.71631,56.054707,58.4085,65.76599,64.96035,62.98221,64.86762,blues
blues.00018.wav,661794,-252.48177,104.94516,15.296444,42.68784,6.770452,21.611765,-1.3111783,5.681745,-16.636873,12.16935,-1.9619532,1.9602653,-0.89822775,7.762361,2.3758621,1.7791146,1.3305403,3.6150513,4.9066,-2.6610513,2876.4075,604.5273,662.4526,162.84766,92.94445,117.35942,73.52818,100.60417,125.70105,123.75779,52.205364,64.80921,48.798088,71.567314,102.08354,93.120384,132.12053,182.40622,151.78612,96.54723,blues
blues.00019.wav,661794,-236.67947,138.4056,-4.930479,47.6545,5.1578503,8.887807,0.4874057,-3.788342,-14.984866,10.428946,-0.34138435,0.78335893,1.7809838,4.22956,-0.4747693,-6.104543,-5.394643,-1.344999,-3.7254627,-4.37371,5580.956,536.69946,1167.8243,311.4824,466.6485,91.749374,98.13635,159.12541,77.40818,104.58123,134.62479,80.53248,77.97083,73.67464,63.348755,80.78572,95.58178,92.68451,72.57789,66.98379,blues
